Segundos(s),Canal 1(V),Canal 2(V)
-15.15000E-03,+2.63151698E+00,+1.61644157E+00
-15.12500E-03,+2.44444883E+00,+1.61487121E+00
-15.10000E-03,+2.25581032E+00,+1.61809043E+00
-15.07500E-03,+2.07129399E+00,+1.63183101E+00
-15.05000E-03,+1.89305906E+00,+1.58636933E+00
-15.02500E-03,+1.72012407E+00,+1.64239163E+00
-15.00000E-03,+1.54444097E+00,+1.63143842E+00
-14.97500E-03,+1.35344693E+00,+1.61506751E+00
-14.95000E-03,+1.18011936E+00,+1.61118089E+00
-14.92500E-03,+1.00502513E+00,+1.63088880E+00
-14.90000E-03,+830.71609E-03,+1.61777636E+00
-14.87500E-03,+657.58480E-03,+1.64643528E+00
-14.85000E-03,+470.32036E-03,+1.60105212E+00
-14.82500E-03,+301.31125E-03,+1.66873428E+00
-14.80000E-03,+112.28015E-03,+1.57145099E+00
-14.77500E-03,-44.95132E-03,+1.66582913E+00
-14.75000E-03,-231.23430E-03,+1.61322234E+00
-14.72500E-03,-405.34705E-03,+1.64003610E+00
-14.70000E-03,-590.45227E-03,+1.63944722E+00
-14.67500E-03,-773.98713E-03,+1.61593120E+00
-14.65000E-03,-950.84800E-03,+1.65970476E+00
-14.62500E-03,-1.14086056E+00,+1.64227385E+00
-14.60000E-03,-1.33558418E+00,+1.58118717E+00
-14.57500E-03,-1.50400441E+00,+1.67332756E+00
-14.55000E-03,-1.69676509E+00,+1.62484295E+00
-14.52500E-03,-1.89247018E+00,+1.63544282E+00
-14.50000E-03,-2.06422740E+00,+1.63787687E+00
-14.47500E-03,-2.25051038E+00,+1.61950375E+00
-14.45000E-03,-2.43168972E+00,+1.63159546E+00
-14.42500E-03,-2.60325065E+00,+1.63120287E+00
-14.40000E-03,-2.80229274E+00,+1.64054646E+00
-14.37500E-03,-2.99053865E+00,+1.61852228E+00
-14.35000E-03,-3.17446611E+00,+1.62044596E+00
-14.32500E-03,-3.36526385E+00,+1.64561085E+00
-14.30000E-03,-3.56077264E+00,+1.61714822E+00
-14.27500E-03,-3.74038162E+00,+1.63897611E+00
-14.25000E-03,-3.92744978E+00,+1.62390074E+00
-14.22500E-03,-4.11922899E+00,+1.58334640E+00
-14.20000E-03,-4.27999375E+00,+1.69959169E+00
-14.17500E-03,-4.47648402E+00,+1.60077731E+00
-14.15000E-03,-4.67650757E+00,+1.62829772E+00
-14.12500E-03,-4.86102391E+00,+1.63336211E+00
-14.10000E-03,-5.05496235E+00,+1.62829772E+00
-14.07500E-03,-5.23947868E+00,+1.60964979E+00
-14.05000E-03,-5.41771361E+00,+1.65334483E+00
-14.02500E-03,-5.62284081E+00,+1.59449590E+00
-14.00000E-03,-5.80480532E+00,+1.64557159E+00
-13.97500E-03,-5.99010683E+00,+1.62499998E+00
-13.95000E-03,-6.17305281E+00,+1.64392272E+00
-13.92500E-03,-6.36169132E+00,+1.59763660E+00
-13.90000E-03,-6.53187819E+00,+1.63583541E+00
-13.87500E-03,-6.71835746E+00,+1.62244816E+00
-13.85000E-03,-6.90248121E+00,+1.63230212E+00
-13.82500E-03,-7.08856789E+00,+1.59005966E+00
-13.80000E-03,-7.26994352E+00,+1.66535802E+00
-13.77500E-03,-7.45897462E+00,+1.59005966E+00
-13.75000E-03,-7.64486501E+00,+1.62335111E+00
-13.72500E-03,-7.83114799E+00,+1.62150595E+00
-13.70000E-03,-8.02214202E+00,+1.61023868E+00
-13.67500E-03,-8.20685465E+00,+1.63226286E+00
-13.65000E-03,-8.39353022E+00,+1.59579144E+00
-13.62500E-03,-8.57726137E+00,+1.64298051E+00
-13.60000E-03,-8.76491841E+00,+1.58652636E+00
-13.57500E-03,-8.93314234E+00,+1.60246544E+00
-13.55000E-03,-9.11746238E+00,+1.63371543E+00
-13.52500E-03,-9.30531571E+00,+1.60018843E+00
-13.50000E-03,-9.49670234E+00,+1.61730526E+00
-13.47500E-03,-9.67670391E+00,+1.60705871E+00
-13.45000E-03,-9.86769794E+00,+1.59320036E+00
-13.42500E-03,-10.03160341E+00,+1.66606468E+00
