Segundos(s),Canal 1(V),Canal 2(V)
-36.70000E-03,+16.84623121E+00,+3.01507540E+00
-36.65000E-03,+17.24824126E+00,+2.86432163E+00
-36.60000E-03,+17.19799001E+00,+3.01507540E+00
-36.55000E-03,+16.89648247E+00,+2.83919600E+00
-36.50000E-03,+16.94673372E+00,+3.01507540E+00
-36.45000E-03,+16.84623121E+00,+3.01507540E+00
-36.40000E-03,+17.24824126E+00,+3.01507540E+00
-36.35000E-03,+16.54472367E+00,+3.01507540E+00
-36.30000E-03,+16.49447241E+00,+3.01507540E+00
-36.25000E-03,+16.49447241E+00,+3.01507540E+00
-36.20000E-03,+17.24824126E+00,+3.01507540E+00
-36.15000E-03,+16.54472367E+00,+3.01507540E+00
-36.10000E-03,+16.49447241E+00,+3.04020103E+00
-36.05000E-03,+16.54472367E+00,+3.01507540E+00
-36.00000E-03,+16.54472367E+00,+3.01507540E+00
-35.95000E-03,+16.89648247E+00,+3.21608043E+00
-35.90000E-03,+16.94673372E+00,+3.01507540E+00
-35.85000E-03,+16.89648247E+00,+3.01507540E+00
-35.80000E-03,+16.89648247E+00,+3.01507540E+00
-35.75000E-03,+16.89648247E+00,+3.19095480E+00
-35.70000E-03,+16.19296487E+00,+2.81407037E+00
-35.65000E-03,+16.49447241E+00,+2.86432163E+00
-35.60000E-03,+16.49447241E+00,+3.01507540E+00
-35.55000E-03,+16.89648247E+00,+3.19095480E+00
-35.50000E-03,+16.89648247E+00,+3.21608043E+00
-35.45000E-03,+16.89648247E+00,+3.01507540E+00
-35.40000E-03,+16.89648247E+00,+3.19095480E+00
-35.35000E-03,+16.59497493E+00,+3.19095480E+00
-35.30000E-03,+16.49447241E+00,+3.04020103E+00
-35.25000E-03,+16.84623121E+00,+3.19095480E+00
-35.20000E-03,+16.54472367E+00,+3.01507540E+00
-35.15000E-03,+16.54472367E+00,+3.01507540E+00
-35.10000E-03,+16.49447241E+00,+3.01507540E+00
-35.05000E-03,+16.89648247E+00,+3.04020103E+00
-35.00000E-03,+16.54472367E+00,+2.98994977E+00
-34.95000E-03,+16.54472367E+00,+3.01507540E+00
-34.90000E-03,+16.84623121E+00,+3.01507540E+00
-34.85000E-03,+16.84623121E+00,+2.83919600E+00
-34.80000E-03,+16.89648247E+00,+3.19095480E+00
-34.75000E-03,+16.89648247E+00,+3.19095480E+00
-34.70000E-03,+16.49447241E+00,+3.01507540E+00
-34.65000E-03,+16.54472367E+00,+2.98994977E+00
-34.60000E-03,+16.84623121E+00,+2.98994977E+00
-34.55000E-03,+7.54974873E+00,+2.38693469E+00
-34.50000E-03,+765.82908E-03,+1.20603016E+00
-34.45000E-03,-4.46030162E+00,+0.0E+00
-34.40000E-03,-8.48040215E+00,-603.01508E-03
-34.35000E-03,-11.59598007E+00,-1.23115579E+00
-34.30000E-03,-13.60603033E+00,-1.60804021E+00
-34.25000E-03,-14.86231175E+00,-1.80904524E+00
-34.20000E-03,-15.61608060E+00,-2.18592967E+00
-34.15000E-03,-16.06834191E+00,-2.38693469E+00
-34.10000E-03,-16.47035196E+00,-2.41206032E+00
-34.05000E-03,-16.52060322E+00,-2.38693469E+00
-34.00000E-03,-16.52060322E+00,-2.41206032E+00
-33.95000E-03,-16.87236202E+00,-2.41206032E+00
-33.90000E-03,-16.16884442E+00,-2.58793972E+00
-33.85000E-03,-17.17386956E+00,-2.61306535E+00
-33.80000E-03,-17.22412081E+00,-2.41206032E+00
-33.75000E-03,-17.27437207E+00,-2.58793972E+00
-33.70000E-03,-16.87236202E+00,-2.41206032E+00
-33.65000E-03,-16.87236202E+00,-2.41206032E+00
-33.60000E-03,-16.92261327E+00,-2.61306535E+00
-33.55000E-03,-16.87236202E+00,-2.61306535E+00
-33.50000E-03,-17.22412081E+00,-2.41206032E+00
-33.45000E-03,-16.92261327E+00,-2.61306535E+00
-33.40000E-03,-16.57085448E+00,-2.43718595E+00
-33.35000E-03,-16.87236202E+00,-2.41206032E+00
-33.30000E-03,-16.87236202E+00,-2.43718595E+00
-33.25000E-03,-16.87236202E+00,-2.61306535E+00
-33.20000E-03,-17.22412081E+00,-2.43718595E+00
-33.15000E-03,-16.92261327E+00,-2.58793972E+00
-33.10000E-03,-16.87236202E+00,-2.61306535E+00
-33.05000E-03,-16.87236202E+00,-2.58793972E+00
-33.00000E-03,-16.87236202E+00,-2.61306535E+00
-32.95000E-03,-16.87236202E+00,-2.58793972E+00
-32.90000E-03,-16.87236202E+00,-2.58793972E+00
-32.85000E-03,-16.92261327E+00,-2.41206032E+00
-32.80000E-03,-17.27437207E+00,-2.43718595E+00
-32.75000E-03,-16.87236202E+00,-2.43718595E+00
-32.70000E-03,-16.52060322E+00,-2.38693469E+00
